/ID	Name	Year Published	Min Players	Max Players	Play Time	Min Age	Users Rated	Rating Average	BGG Rank	Complexity Average	Owned Users	Mechanics	Domains
172062	Fairytale Gloom	2015	2	5	60	13	574	6.52	4139	1.60	2092	Hand Management. Storytelling. Take That	
150016	Shephy	2013	1	1	15	12	379	6.79	4140	1.48	586	Hand Management. Set Collection	
165004	ONUS! Rome Vs Carthage	2014	1	4	60	12	281	7.68	4141	2.80	735	Campaign / Battle Card Driven. Card Drafting. Dice Rolling. Simultaneous Action Selection	Wargames
123536	GOSU 2: Tactics	2012	2	4	45	13	342	7.02	4142	2.41	767	Hand Management. Team-Based Game	Strategy Games
196712	Battlestations: Second Edition	2017	2	9	180	13	241	8.02	4143	3.63	972	Dice Rolling. Grid Movement. Modular Board. Role Playing. Storytelling. Team-Based Game	
211454	VOLT	2018	2	4	45	10	345	6.95	4144	2	662	Action Queue. Grid Movement. Simultaneous Action Selection. Variable Player Powers	
1445	Canasta Caliente	2000	2	6	60	7	785	6.32	4145	1.71	2097	Set Collection	Family Games
309105	Sagani	2020	1	4	60	8	252	7.44	4146	2.31	471	Pattern Building. Tile Placement	Abstract Games. Family Games
111081	Animal Upon Animal: Crest Climbers	2011	2	4	15	4	315	6.99	4147	1.08	543	Dice Rolling. Stacking and Balancing	Children's Games. Family Games
217576	Hellenica: Story of Greece	2019	1	7	180	11	203	8.15	4148	3.37	536	Area Majority / Influence. Area Movement. Betting and Bluffing. Dice Rolling. Die Icon Resolution. Events. Hidden Victory Points. Interrupts. Modular Board. Solo / Solitaire Game. Tile Placement. Variable Player Powers. Worker Placement	
93971	Nile DeLuxor	2011	2	6	30	8	434	6.63	4149	1.55	810	Hand Management. Highest-Lowest Scoring. Random Production. Take That	Family Games
276386	Caesar: Rome vs. Gaul	2020	2	2	240	12	162	8.37	4150	3.22	640	Campaign / Battle Card Driven. Dice Rolling. Events. Hand Management. Point to Point Movement. Simulation	Wargames
2125	Amazons	1992	2	2	30	12	295	7.16	4151	2.96	209	Enclosure. Grid Movement. Square Grid. Tile Placement	Abstract Games
36314	Where Eagles Dare: The Battle for Hell's Highway	2011	2	2	2400	0	173	8.35	4152	3.48	870	Chit-Pull System. Dice Rolling. Hexagon Grid	Wargames
